time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1957-03-23T19:02:31.000Z,40.6,-74.8,10,3.8,fa,,,,,ushis,ushis2197,2018-06-04T20:43:44.000Z,"3 km SW of Whitehouse Station, New Jersey",earthquake,,,,,reviewed,ushis,sc
1895-09-01T11:09:00.000Z,40.46,-74.3,,4.15,mfa,,,,,official,official18950901110900000,2021-08-13T21:12:31.059Z,"Near South Amboy, New Jersey",earthquake,,,,,reviewed,official,official
1884-08-10T19:05:00.000Z,40.51,-73.83,,5.25,mfa,,,,,official,official18840810190500000,2020-10-13T22:31:42.956Z,"New York City area, New York",earthquake,,,,,reviewed,official,official
1874-12-11T03:25:00.000Z,41.06,-73.87,,3.5,mfa,,,,,pal,pal18741211032500000,2023-08-27T00:12:09.760Z,"Near Tarrytown, New York",earthquake,,,,,reviewed,pal,pal
1872-07-11T10:25:00.000Z,40.9,-73.8,,2.8,mfa,,,,,eqh,eqh18720711102500000,2023-08-26T22:53:16.659Z,"Near New Rochelle, New York",earthquake,,,,,reviewed,eqh,pal
1848-09-09T03:45:00.000Z,41.11,-73.85,,4.35,mfa,,,,,pal,pal18480909034500000,2023-08-22T06:42:13.683Z,"Near Tarrytown, New York",earthquake,,,,,reviewed,pal,pal
1845-10-26T23:15:00.000Z,41.22,-73.67,,3.75,mfa,,,,,official,official18451026231500000,2021-08-08T00:48:01.048Z,"Near Bedford, New York",earthquake,,,,,reviewed,official,official
1841-01-25T05:30:00.000Z,40.79,-74.25,,2.9,mfa,,,,,pal,pal18410125053000000,2023-08-22T05:37:18.200Z,"Greater New York area, New Jersey",earthquake,,,,,reviewed,pal,pal
1783-11-30T03:50:00.000Z,41,-74.5,,5.1,mfa,,,,,official,official17831130035000000,2019-08-05T22:06:51.821Z,"New Jersey",earthquake,,,,,reviewed,official,official
1737-12-19T03:45:00.000Z,40.8,-74,,5.1,mfa,,,,,ushis,ushis5,2021-08-07T22:05:29.281Z,"Greater New York area, New Jersey",earthquake,,,,,reviewed,ushis,official
